,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment,,,
1,hsa00980,Metabolism of xenobiotics by cytochrome P450,49,0.694060161,2.305813781,0.001584786,0.022467602,0.016224135,2029,tags=51%, list=16%, signal=43%,GSTA1/DHDH/CYP3A4/AKR7A3/GSTA2/UGT2B7/GSTM4/AKR1C1/GSTO1/GSTA4/CBR1/GSTK1/CYP1A2/UGT1A6/CYP1A1/MGST2/ADH4/CYP2S1/AKR7A2/GSTO2/UGT1A8/ADH6/ADH5/GSTP1/UGT2A3,
2,hsa05204,Chemical carcinogenesis - DNA adducts,41,0.71164846,2.256949935,0.001636661,0.022467602,0.016224135,2029,tags=51%, list=16%, signal=43%,GSTA1/CYP3A4/SULT1A2/SULT1A1/GSTA2/UGT2B7/GSTM4/GSTO1/GSTA4/CBR1/GSTK1/CYP1A2/UGT1A6/NAT2/CYP1A1/MGST2/GSTO2/UGT1A8/CYP3A7/GSTP1/UGT2A3,
3,hsa04146,Peroxisome,75,0.624375172,2.247332139,0.001490313,0.022467602,0.016224135,2268,tags=48%, list=18%, signal=40%,CAT/NOS2/ACSL5/ACOX2/PEX26/ABCD1/ABCD4/ECI2/MPV17L/IDH1/PIPOX/PEX11A/PECR/DHRS4/DECR2/DAO/PAOX/PEX6/SCP2/EPHX2/ACOX3/GSTK1/EHHADH/PEX11G/AGPS/SOD1/PHYH/XDH/HSD17B4/CRAT/ACOX1/MLYCD/PXMP2/ACAA1/SOD2/PEX3,
4,hsa00982,Drug metabolism - cytochrome P450,42,0.68162341,2.183799592,0.001618123,0.022467602,0.016224135,2029,tags=48%, list=16%, signal=40%,GSTA1/CYP3A4/GSTA2/UGT2B7/GSTM4/MAOB/GSTO1/GSTA4/GSTK1/CYP1A2/UGT1A6/FMO5/MGST2/ADH4/GSTO2/UGT1A8/ADH6/ADH5/GSTP1/UGT2A3,
5,hsa04976,Bile secretion,60,0.602532814,2.090877836,0.001540832,0.022467602,0.016224135,1819,tags=37%, list=14%, signal=32%,ABCC2/CYP3A4/ATP1A1/NR0B2/ADCY9/SLC5A1/ABCB1/ABCG8/ABCG2/UGT2B7/SLC22A7/AQP1/CFTR/ATP1B3/SLC51B/UGT1A6/ABCG5/SLC4A4/SLC4A2/SCARB1/UGT1A8/AQP8,
7,hsa01200,Carbon metabolism,95,0.560341183,2.053579587,0.001477105,0.022467602,0.016224135,1938,tags=33%, list=15%, signal=28%,TKFC/PKLR/IDNK/CPS1/CAT/GLDC/FBP1/HKDC1/ALDOB/ACADS/ME3/IDH1/ENO3/PRPS1/ALDH6A1/GLYCTK/ACOX3/ECHS1/ACAT1/SDSL/ACSS1/HIBCH/SHMT1/FH/PCCA/SUCLG1/ACO1/IDH3A/ACOX1/ADH5/SUCLG2,
8,hsa04973,Carbohydrate digestion and absorption,27,0.699759712,2.043461969,0.001694915,0.022467602,0.016224135,731,tags=37%, list=6%, signal=35%,SLC2A5/MGAM/ATP1A1/SLC5A1/PLCB3/SLC37A4/HKDC1/CACNA1D/ATP1B3/PLCB4,
9,hsa00040,Pentose and glucuronate interconversions,24,0.714788075,2.034711834,0.001709402,0.022467602,0.016224135,2353,tags=54%, list=18%, signal=44%,DHDH/XYLB/UGT2B7/CRYL1/SORD/AKR1B10/GUSB/UGT1A6/AKR1A1/UGT1A8/FGGY/UGT2A3/UGT1A1,
10,hsa04978,Mineral absorption,39,0.649094026,2.031583785,0.001636661,0.022467602,0.016224135,1748,tags=49%, list=14%, signal=42%,SLC6A19/MT1G/ATP1A1/HMOX2/SLC11A2/SLC5A1/SLC39A4/MT1F/MT2A/FTL/ATP1B3/HMOX1/VDR/SLC34A2/MT1E/SLC30A1/SLC40A1/ATP2B1/SLC26A3,
11,hsa00350,Tyrosine metabolism,24,0.691522258,1.968483485,0.001709402,0.022467602,0.016224135,1973,tags=50%, list=15%, signal=42%,HPD/PNMT/MAOB/DDC/LRTOMT/FAH/FAHD1/COMT/ADH4/ADH6/ADH5/HGD,
12,hsa00071,Fatty acid degradation,36,0.631275523,1.940481689,0.001647446,0.022467602,0.016224135,2667,tags=67%, list=21%, signal=53%,ACSL5/HADHB/ACADSB/ECI2/ACADS/ACADM/ECI1/ACOX3/EHHADH/HADHA/ECHS1/HADH/ACAT1/ADH4/ACOX1/ADH6/ALDH1B1/ADH5/ACAA1/ALDH2/CPT2/GCDH/ALDH3A2/ALDH9A1,
13,hsa00640,Propanoate metabolism,26,0.665403687,1.938211282,0.001677852,0.022467602,0.016224135,2732,tags=69%, list=21%, signal=55%,ABAT/ACADS/ALDH6A1/ACOX3/EHHADH/HADHA/ECHS1/ACSS1/HIBCH/PCCA/SUCLG1/ACOX1/SUCLG2/MLYCD/LDHB/PCCB/SUCLA2/LDHA,
14,hsa00790,Folate biosynthesis,22,0.697604206,1.935125848,0.001763668,0.022467602,0.016224135,1215,tags=41%, list=9%, signal=37%,ALPI/DHFR/QDPR/CBR1/AKR1B10/MOCOS/SPR/DHFR2/MOCS1,
15,hsa00380,Tryptophan metabolism,34,0.628936184,1.913033558,0.001642036,0.022467602,0.016224135,2667,tags=56%, list=21%, signal=44%,HAAO/CAT/MAOB/DDC/EHHADH/CYP1A2/HADHA/ECHS1/HADH/ACAT1/CYP1A1/ALDH1B1/AOC1/ALDH8A1/ALDH2/GCDH/ALDH3A2/AOX1/ALDH9A1,
16,hsa00480,Glutathione metabolism,47,0.573140659,1.894636669,0.001589825,0.022467602,0.016224135,1977,tags=43%, list=15%, signal=36%,GSTA1/GPX3/ANPEP/GSTA2/NAT8/GSTM4/IDH1/GGT1/GSTO1/GSTA4/GSTK1/GGCT/GPX4/MGST2/OPLAH/GSTO2/RRM2/ODC1/GSR/GSTP1,
27,hsa00983,Drug metabolism - other enzymes,59,0.544176989,1.886884248,0.003095975,0.031280026,0.022587696,2137,tags=37%, list=17%, signal=31%,GSTA1/CYP3A4/CES2/GSTA2/UGT2B7/GSTM4/GSTO1/GSTA4/GUSB/NME1/UGT1A6/NAT2/ITPA/MGST2/XDH/GSTO2/UGT1A8/RRM2/UCKL1/GSTP1/UGT2A3/UCK2,
18,hsa00062,Fatty acid elongation,23,0.666192514,1.877353881,0.001748252,0.022467602,0.016224135,1459,tags=48%, list=11%, signal=42%,ACOT7/HADHB/ACOT2/HACD3/HACD2/ELOVL6/HADHA/ECHS1/HADH/THEM4/ACOT4,
19,hsa03320,PPAR signaling pathway,55,0.55077038,1.86373819,0.001589825,0.022467602,0.016224135,2528,tags=49%, list=20%, signal=40%,CYP27A1/APOA1/ACSL5/ACOX2/PCK1/ACADM/PCK2/ME3/SLC27A4/GK/SCP2/ACOX3/PLIN1/EHHADH/APOC3/SORBS1/DBI/ACOX1/FABP2/HMGCS2/ACAA1/PDPK1/ILK/CPT2/MMP1/PLIN2/FABP6,
20,hsa04975,Fat digestion and absorption,30,0.619405416,1.846558078,0.00166113,0.022467602,0.016224135,1853,tags=50%, list=14%, signal=43%,CEL/MOGAT2/MTTP/MOGAT3/APOA1/PLA2G12B/ABCG8/SLC27A4/APOB/DGAT1/ACAT1/ABCG5/SCARB1/PLA2G12A/FABP2,
21,hsa01240,Biosynthesis of cofactors,128,0.476758696,1.843903759,0.001390821,0.022467602,0.016224135,2654,tags=37%, list=21%, signal=29%,HPD/HAAO/ALPI/ASPDH/PNPO/UGT2B7/NAPRT/PDXP/DHFR/COQ6/NQO1/AK1/GUSB/AK2/FECH/UROS/NME1/PANK1/UGT1A6/SPR/DHFR2/TPK1/MOCS1/NADK/AKR1A1/PPCDC/COQ3/LIPT2/DHODH/SHMT1/NADK2/UGT1A8/ALDH1B1/UGT2A3/CAD/MAT2A/CTPS1/ALDH2/AK4/UGT1A1/FLAD1/MTHFD2L/ADSL/ALDH3A2/GMPPB/VKORC1/RDH12,
22,hsa02010,ABC transporters,34,0.605295858,1.84112684,0.001642036,0.022467602,0.016224135,614,tags=29%, list=5%, signal=28%,ABCC2/ABCC11/ABCB1/ABCD1/ABCG8/ABCB10/ABCG2/ABCD4/CFTR/ABCC6,
30,hsa00030,Pentose phosphate pathway,24,0.642126387,1.827873468,0.003418803,0.033390313,0.024111561,851,tags=29%, list=7%, signal=27%,IDNK/RBKS/FBP1/ALDOB/DERA/PRPS1/GLYCTK,
23,hsa04974,Protein digestion and absorption,51,0.544346713,1.822590299,0.001572327,0.022467602,0.016224135,1319,tags=33%, list=10%, signal=30%,SLC6A19/SLC15A1/COL4A1/ATP1A1/COL4A2/COL5A2/MME/SLC16A10/ATP1B3/COL9A3/ACE2/SLC36A1/MEP1A/SLC7A7/XPNPEP2/SLC3A1/PRCP,
34,hsa04979,Cholesterol metabolism,37,0.569257788,1.773248336,0.006472492,0.043018646,0.0310643,1184,tags=24%, list=9%, signal=22%,CYP27A1/LIPA/APOA1/LIPC/ABCG8/NPC2/APOB/APOC3/ABCG5,
35,hsa00620,Pyruvate metabolism,39,0.556090947,1.740495684,0.006546645,0.043018646,0.0310643,2732,tags=51%, list=21%, signal=40%,PKLR/PCK1/PCK2/ME3/ACAT1/AKR1A1/ADH4/ACSS1/GRHPR/LDHD/FH/HAGH/ADH6/ALDH1B1/ADH5/ALDH2/ALDH3A2/LDHB/ALDH9A1/LDHA,
36,hsa01212,Fatty acid metabolism,48,0.520322038,1.727641674,0.006299213,0.043018646,0.0310643,1088,tags=33%, list=8%, signal=31%,ACSL5/HADHB/ACADSB/HSD17B8/ACADS/ACADM/SCP2/HACD3/HACD2/ACOX3/ELOVL6/EHHADH/HADHA/ECHS1/HADH/ACAT1,
53,hsa04740,Olfactory transduction,24,0.606771238,1.727231696,0.008547009,0.046775223,0.033776971,1964,tags=33%, list=15%, signal=28%,PDE2A/GUCY2D/ARRB2/PRKG2/RGS2/GNAL/CALM1/GRK2,
37,hsa00650,Butanoate metabolism,20,0.630747431,1.72559715,0.007029877,0.043018646,0.0310643,1088,tags=40%, list=8%, signal=37%,ABAT/ALDH5A1/ACADS/EHHADH/HADHA/ECHS1/HADH/ACAT1,
51,hsa00140,Steroid hormone biosynthesis,36,0.550941178,1.693541455,0.008237232,0.046721521,0.033738192,2029,tags=44%, list=16%, signal=38%,CYP3A4/DHRS11/UGT2B7/HSD17B8/SRD5A1/LRTOMT/HSD17B2/AKR1C1/CYP1A2/UGT1A6/COMT/CYP1A1/HSD3B1/UGT1A8/CYP3A7/UGT2A3,
52,hsa00860,Porphyrin metabolism,31,0.561669013,1.682564509,0.008291874,0.046721521,0.033738192,2353,tags=45%, list=18%, signal=37%,CP/HMOX2/UGT2B7/HMOX1/GUSB/FECH/UROS/UGT1A6/FXN/UGT1A8/BLVRA/UGT2A3/BLVRB/UGT1A1,
57,hsa00020,Citrate cycle (TCA cycle),29,0.557562104,1.65662729,0.009917355,0.050978686,0.036812344,2126,tags=31%, list=17%, signal=26%,PCK1/PCK2/IDH1/FH/SUCLG1/ACO1/IDH3A/SUCLG2/OGDHL,
79,hsa00410,beta-Alanine metabolism,24,0.578985707,1.648137555,0.025641026,0.095098994,0.068672167,2841,tags=62%, list=22%, signal=49%,ABAT/ACADS/ALDH6A1/ACOX3/EHHADH/HADHA/ECHS1/HIBCH/ACOX1/ALDH1B1/MLYCD/ALDH2/ALDH3A2/ALDH9A1/SMOX,
58,hsa04924,Renin secretion,50,0.492355258,1.643219752,0.011075949,0.055952641,0.040404098,1036,tags=26%, list=8%, signal=24%,AGT/ACE/CTSB/ITPR2/PLCB3/ADORA1/ORAI1/EDN2/AQP1/CACNA1D/PRKG2/PLCB4/PPP3CC,
63,hsa04216,Ferroptosis,36,0.533288809,1.639279729,0.013179572,0.061295468,0.044262221,1747,tags=33%, list=14%, signal=29%,CP/ACSL5/LPCAT3/SLC11A2/PRNP/FTL/SAT2/HMOX1/MAP1LC3A/GPX4/SLC40A1/NCOA4,
65,hsa00830,Retinol metabolism,44,0.506502379,1.638374014,0.014634146,0.065966229,0.047635035,2029,tags=43%, list=16%, signal=36%,CYP3A4/RDH5/ALDH1A2/UGT2B7/DHRS4/RETSAT/DGAT1/CYP1A2/UGT1A6/CYP1A1/ADH4/CYP2S1/UGT1A8/ADH6/ADH5/DHRS4L2/RPE65/CYP3A7/UGT2A3,
29,hsa04142,Lysosome,122,0.424127439,1.619207015,0.002828854,0.031280026,0.022587696,2087,tags=30%, list=16%, signal=25%,LIPA/CTSA/CTSB/CTSH/SLC11A2/NPC2/SMPD1/ACP2/CTSZ/ACP5/NAGA/CTNS/ATP6V0C/GNPTAB/GNS/FUCA2/GLA/LAPTM5/GALC/HEXB/GUSB/CTSV/CTSD/GLB1/FUCA1/SGSH/ARSB/ABCB9/LAMP1/LAPTM4B/ASAH1/ATP6V0A2/SORT1/CTSC/LAMP3/CTSO,
70,hsa00051,Fructose and mannose metabolism,28,0.55301946,1.616856338,0.018612521,0.075828157,0.054756456,1236,tags=29%, list=10%, signal=26%,TKFC/KHK/FBP1/HKDC1/ALDOB/SORD/AKR1B10/PFKFB2,
74,hsa00330,Arginine and proline metabolism,40,0.507605866,1.596885196,0.021276596,0.083120567,0.060022396,2841,tags=45%, list=22%, signal=35%,NOS2/AGMAT/GATM/MAOB/SAT2/ALDH4A1/DAO/OAT/NOS3/ARG2/ODC1/ALDH1B1/AOC1/ALDH2/PYCR3/ALDH3A2/ALDH9A1/SMOX,
76,hsa04061,Viral protein interaction with cytokine and cytokine receptor,46,0.475273247,1.569132558,0.022292994,0.085945357,0.062062212,1680,tags=30%, list=13%, signal=27%,CXCR3/IL37/CCL15/TNFRSF1B/IL20RA/TNFSF10/CSF1R/IL2RG/ACKR4/IL22RA1/CCR9/CCL5/TNFRSF1A/IL18R1,
78,hsa00760,Nicotinate and nicotinamide metabolism,29,0.525810916,1.562288228,0.024793388,0.093134139,0.067253321,2647,tags=45%, list=21%, signal=36%,ASPDH/BST1/NAPRT/SIRT3/ENPP3/NADK/NADK2/NMRK1/PNP/NT5E/NT5C2/SIRT4/AOX1,
68,hsa04970,Salivary secretion,52,0.463593079,1.555242241,0.017322835,0.074641038,0.053899222,731,tags=21%, list=6%, signal=20%,BST1/ATP1A1/CST3/ADCY9/ITPR2/PLCB3/LPO/LYZ/ATP1B3/PRKG2/PLCB4,
73,hsa01230,Biosynthesis of amino acids,60,0.442666916,1.536119565,0.020030817,0.080397661,0.058056152,1830,tags=23%, list=14%, signal=20%,NAGS/PKLR/CPS1/ALDOB/IDH1/ENO3/PRPS1/ACY1/SDSL/SHMT1/ARG2/ACO1/IDH3A/OTC,
62,hsa04020,Calcium signaling pathway,128,0.380736691,1.472530697,0.012517385,0.05915474,0.042716374,2611,tags=34%, list=20%, signal=27%,MST1/NOS2/PLCG1/MCOLN2/TNNC1/ADCY9/ITPR2/PLCB3/ORAI1/CACNA1D/P2RX6/SPHK1/PLCB4/PPP3CC/EGFR/PHKG2/PDGFC/BDKRB1/GNAL/NOS3/ATP2B1/FLT1/PLCD4/VDAC1/EGF/SLC25A4/CALM1/ITPKB/BDKRB2/HRH1/FGF19/PPP3CB/ADCY1/ITPKA/ITPR1/OXTR/MST1R/FGFR2/F2R/SLC25A5/P2RX1/CAMK1/VDAC3,
17,hsa00260,Glycine, serine and threonine metabolism,28,0.645268135,1.886562679,0.001692047,0.022467602,0.016224135,2002,tags=39%, list=16%, signal=33%,GLDC/CHDH/GATM/MAOB/PIPOX/DAO/GLYCTK/SDSL/SHMT1/GRHPR/SRR
6,hsa00280,Valine, leucine and isoleucine degradation,43,0.64328273,2.067120611,0.001626016,0.022467602,0.016224135,2677,tags=60%, list=21%, signal=48%,ABAT/HADHB/ACADSB/ACADS/ACADM/ALDH6A1/IVD/EHHADH/HADHA/ECHS1/HADH/ACAT1/HIBCH/AUH/HSD17B10/HIBADH/PCCA/HMGCS2/ALDH1B1/ACAA1/ALDH2/ACAD8/ALDH3A2/AOX1/ALDH9A1/PCCB
60,hsa05200,Pathways in cancer,375,-0.257451039,-1.280645663,0.011560694,0.056454721,0.040766657,2345,tags=27%, list=18%, signal=23%,PIK3R3/CAMK2G/ROCK1/CREBBP/ITGB1/TRAF2/RHOA/STK4/AKT1/SUFU/APAF1/VEGFB/XIAP/RAF1/LAMC2/GADD45B/ELK1/TGFBR1/ZBTB17/ADCY7/LPAR3/STAT6/PTEN/CASP8/WNT4/MAP2K1/MET/FZD6/GNAQ/PLD2/CCDC6/TRAF5/BMP4/LPAR5/GNAS/PPARG/BCL2L1/CDKN1B/CDK6/TGFA/PIK3CA/IKBKG/LAMB1/NFKB1/CDKN1A/BAX/CCND3/TPR/IKBKB/GSK3B/CDKN2B/ARNT/NOTCH3/GRB2/DVL2/GNB2/TCF7L2/PTGER1/TGFB1/EP300/RALBP1/VEGFA/LAMB3/EGLN3/RAC2/MECOM/GNG2/BRAF/BBC3/STAT3/LAMA3/BMP2/PIM2/DAPK1/SLC2A1/LAMC1/BID/EPOR/JUP/NFKBIA/PPARD/SMAD3/MDM2/IFNGR2/RELA/RASSF5/DDB2/STAT5A/FGF2/GNAI2/CBL/LAMA5/KRAS/NFKB2/PLCG2/STAT5B/GNB5/PLEKHG5/JAK3/WNT7B/NOTCH2,
55,hsa05165,Human papillomavirus infection,250,-0.27170393,-1.30324255,0.009009009,0.047993448,0.034656666,2437,tags=30%, list=19%, signal=25%,UBE3A/BAD/HES6/RBPJ/PIK3R3/CREBBP/ITGB1/AKT1/RAF1/LAMC2/ATP6V1H/DLG1/ATP6V1A/ATP6V1G1/MAML2/HES4/PTEN/CREB3L4/CASP8/WNT4/MAP2K1/FZD6/PRKCI/TYK2/GNAS/ITGB6/RBL2/CDKN1B/CDK6/PIK3CA/DLG3/IKBKG/LAMB1/PPP2R5B/NFKB1/HES2/TCIRG1/CDKN1A/BAX/SCRIB/TNXB/CCND3/THBS3/IKBKB/GSK3B/HLA-B/LLGL2/TICAM1/PPP2R2A/NFX1/NOTCH3/GRB2/DVL2/RBL1/TSC1/TCF7L2/EP300/ITGB4/VEGFA/TSC2/LAMB3/ITGB7/ATM/LAMA3/LAMC1/CREB3L1/UBR4/MDM2/RELA/LAMA5/KRAS/OASL/HLA-E/WNT7B/NOTCH2,
